financial_distress_flag,purpose_clarity,income_stability_mention,repayment_confidence,overall_sentiment,loan_idx,default_flag,grade,desc_clean
1,4,1,4,negative,1535,0,B,i ve been with the same company for almost 10 years and recently got promoted to a new position which started april 5 i have no problem making my minimum payments on my debts right now but am not getting anywhere on paying them down right now my take home is right around 3000 a month and am paying out 150 a month for rent as i am back home living with parents to get my stuff taken care of my expenses right now come up to 840 which include car payment insurance cell phone storage space rent and gas i did not factor living expenses but as i am single with no children they aren t very high
0,1,0,1,neutral,1536,0,C,debt consolidation credit card payoff
1,5,0,5,negative,1537,0,A,i am combining 2 credit cards and my 2012 tax year bill into one personal loan to lower the number of open accounts the tax bill came from under withholding which has been since been corrected the credit card debts came from moving expenses re the purchase of my new home
0,1,0,1,neutral,1538,0,A,trying to turn a backyard full of tumbleweeds and dirt into our own personal paradise falls this summer this improvement project is at our primary residence
1,5,1,5,positive,1539,1,E,my car broke down last week been saving for awhile im hoping to use this and the money i have saved to get a good car that will last for long time i have been working for kroger for 5 years going on 6 my monthly budget leaves me with about 700 to 900 free a month also i wanted to add thank you
0,1,0,1,neutral,1540,0,C,money is to go towards pool and patio
1,5,0,5,negative,1541,1,C,pay off credit cards started credit cards to build credit so i could buy a new car now the credit card debt is impossible to pay off without the help of a fixed loan thank you
0,5,1,5,positive,1542,0,A,i plan to use the funds to close out 3 accounts that have high interest and pay down another by 1 2 this will allow me start a plan to pay off my remaining accounts i have never missed a payment i am well employed and have been with the same company for 9 years
0,1,0,1,neutral,1543,0,C,credit cards payoff
1,1,0,1,negative,1544,0,E,i plan to consolidate all my credit cards with the requested amount
1,5,0,5,negative,1545,0,B,i pay a monthly amount and do not see an end to it with this loan i ll be paying roughly the same amount per month and actually have an end date 36 months
1,5,0,5,negative,1546,1,D,with this money i can pay off what i owe and only have 1 monthly payment that would make my life a whole lot easier thank you for your help
0,5,1,5,positive,1547,0,A,looking to consolidate loans to get everything in one lump payment to make life easier never late on any payments this will just make everything easier very reliable with payments and a steady job with good pay
1,2,0,1,negative,1548,1,C,debt consolidation in a higher rate need this loan to consolidate debt
1,5,0,5,negative,1549,0,A,i would like to pay off and close a high interest credit card and i need funds to pay for extensive dental work not covered by my insurance i would like to pay off and close a high interest credit card i would also like funding to cover extensive dental work not covered by my insurance
0,1,0,1,neutral,1550,0,A,pay down credit cards
1,5,0,5,negative,1551,0,D,lower monthly payments and create a 5 yr plan to pay off majority of my debt
0,5,0,5,neutral,1552,0,B,credit card debt consolidation closing accounts at a cheaper interest rate
0,5,1,5,positive,1553,1,B,i plan to us the funds to help consolidate debt in order to pay it off in a timely fashion i have a very stable job and have worked for them the last 7 years i m on a very tight budget using the envelope system and faithfully make my payments every month on time
1,5,1,5,positive,1554,0,B,i am looking to consolidate some debt after a challenging year personally and professionally i have a great job and career now i just need to consolidate a few high rate debts and get back on track this loan will allow me to increase savings while paying less interest over the next 3 years
0,2,0,1,neutral,1555,1,D,need loan to consolidate debt and also pay for school
0,1,0,1,neutral,1556,0,B,credit card refinacing
1,1,0,1,negative,1557,0,C,pay off my credit card debt
1,5,0,5,negative,1558,0,B,i am paying off credit card debt from college all of my cards have extremely high interest so this will help me pay it off quickly
1,5,0,5,positive,1559,0,B,i will use this loan to payoff my credit cards which all have a higher rate interest than this loan so i will be saving a lot of money if approved
0,1,0,1,negative,1560,0,E,a fresh start order in life continue my success
1,2,0,1,negative,1561,1,B,going to purchase a recreational water vehicle for our family to use also will use loan to pay of credit card debt
1,4,0,4,negative,1562,0,B,do repairs on real properties and consolidate higher interest credit card and personal loan debt
0,5,0,5,positive,1563,0,A,my trip to china will be for a little over one week i am looking forward to this trip the opportunity is made available to me through the inter national honor society these funds would assist in making sure i am covered for any unexpected expense thanks kyla
1,5,0,5,negative,1564,0,D,i would like this loan to consolidate my date into one monthly loan payment i would like to have one account with one interest rate instead of paying 3 4 different payments a month
1,1,0,1,negative,1565,0,D,funds to payoff a 29 98 apr credit card
0,1,0,1,neutral,1566,0,A,this loan is to partially finance construction of a pool thank you
1,5,0,5,negative,1567,0,B,i m looking for the least expensive way to pay off consolidate my credit cards i made many purchases a few years back when i bought my home i ve also made some home improvements i don t believe in walking away from financial obligations i plan to have the payments directly withdrawn
0,1,0,1,negative,1568,0,C,refi a credit card with a 29 interest rate
1,5,0,5,positive,1569,0,C,my loan would pay off several smaller credit cards and give me the opportunity to make fixed payments and pay them off once and for all i plan to leave the accounts open but cut up the cards so they are no longer used if i can i also plan to pay this off earlier than the due date
1,1,0,1,negative,1570,1,C,reduce credit cards
1,5,0,1,negative,1571,0,C,loan requested to payoff of high interest credit card debt
1,3,0,2,negative,1572,1,C,i want to pay off my credit cards and start saving money i pay my bills on time but they just seem like they are not going anywhere i can manage my money it just seems like something always comes up and you are using your charge cards
1,1,0,1,negative,1573,0,B,i got ill and fell behind so i over used my charge cards
1,1,0,1,negative,1574,0,B,2002 honda shadow sabre 1100 13k miles very good price i have done the research can send you a pic if you wish this is a loan for a motorcycle i don t know why it says car financing i don t remember making any selection like that
0,1,0,1,negative,1575,0,C,purchase new furniture new flooring new appliances fridgerator washer dryer microwave and dishwasher hardwood flooring with base boards and walls redone and painted fix up automobile with remainder of money if any
0,5,1,5,positive,1576,0,A,hi i would also like to mention that my fiance will be contributing to repayment of the loan he works for florida power and light and makes double my salary
1,5,1,5,negative,1577,0,B,getting married and want to begin my marriage with a debt consolidation plan i am committed to being debt free i have also been very diligent in debt repayment i plan on taking this money pay off all debt higher interest credit cards consolidate into one monthly payment and pay off all debt i would make sure not to incur any further debt by closing all other credit accounts i have a stable job and make enough monthly to make the monthly payment i am very creditworthy each month i pay a large sum to my credit cards but the interest rates are high and it seems no matter how much i pay each month the balance remains the same obtaining this loan would really help me out of this bind that i would never get myself in again the stress of exhausting my monthly income to these higher interest credit cards i have two that carry high balance and interest rates and not seeing the blance reduce by much is taking it s toll
0,1,0,1,neutral,1578,0,C,to assist in repairs in house
1,5,1,5,positive,1579,0,C,the requested funds will be used to complete the conversion project of my already finished basement into a legally coded basement rental apartment i am approximately 3 4 of the way thru the project the borrowed funds will be used to pay the contractor install a stackable washer dryer and complete the kitchen which includes appliances tiling cabinets countertop and painting i have aready secured a qualified tenant and anxious to meet the scheduled move in date of 8 1 the additional earned income will be used to pay down exising debt thank you for your consideration approximately 4 years ago i went thru a difficult divorce after 10 years of marriage as a result i became a custodial parent and struggled to maintain the financial responsibilities that were once shared although i did my best to do so it was extremely difficult and my credit score declined to the mid 500s during the first year despite the emotional and financial setbacks i was determined to rebuild my good name and credit worthiness over the last 3 years i worked extremely hard to increase my income by way of earning promotions thru my employer i have also paid down a huge amount of debt by making more that the required monthly payments applying additional monies received thru incentive monetary performance awards and my yearly tax refunds one year ago my son 14 and i purchased a single family home and to date my credit score is 710 i have been employed by the fbi for 22 years and i am currently seeking a b s in human resources management at the expense of my employer as a condition of employment i under a 5 year re investigation which includes a credit history check to ensure my credit is in good standing
1,1,0,1,negative,1580,0,D,i need to sell my financed car but am upside down so need a loan to pay off the difference i have just moved to nyc for a job opportunity but no longer need or can afford my expensive car payment high insurance maintenance parking etc i need to sell my financed car but am upside down so i need a loan to pay off the difference i have just moved to nyc for a job opportunity and no longer need or can afford my car the expensive payment high insurance maintenance parking etc i need to sell my fiananced car but am upside down so i need a loan to pay off the difference i have just moved to nyc for a job opportunity and no longer need or can afford my car the expensive payments high insurance maintainence parking etc
1,1,0,1,positive,1581,0,B,paying off higher interest credit cards for the first time in awhile feeling hopeful
0,5,1,5,positive,1582,0,A,my business is rapidly growing and i have a need to purchase new products and make larger purchases of the products i already have larger purchases quantities mean the cost of my product goes way down help me grow my business to another level note i have always paid my bills on time
1,5,1,5,positive,1583,0,F,applying for a loan to consolidate my high interest credit cards to be able to completely pay them off i am currently paying more than the payment requested on this loan therefore i will definitely be able to pay for this loan each month loan needed to consolidate my high interest credit cards onto one payment i am currently paying more in my minimum payments on my credit cards than what the loan payment will be so i will have no problem paying on time i have a full time job and always make my payments on time please consider investing in me so that i can become debt free
1,5,0,5,negative,1584,0,B,sales has gone up and no every vendor offers net 30 while our custmers demand to pay net 30
0,5,1,5,positive,1585,0,B,i repaid my previous lending club loan and i hope to use this one to consolidate smaller debt amounts and reduce my monthly payments i have an a credit rating and am a very reliable borrower who makes all my payments on time
0,5,0,5,positive,1586,1,A,loan will support the addition of a new nat l client in robotics we have an est client base and provide consulting services in the areas of strategic planning business capture mgt and tech transition experience spans across gov t and industry in the defense homeland security and energy sectors
1,5,0,5,negative,1587,0,C,i want to pay off credit cards so i can get in a house
1,5,0,5,negative,1588,0,C,i am really tired of paying high amounts of interest in most of my credit cards and i would like to be debt free very soon
0,2,0,1,neutral,1589,0,B,to pay off other loans and consoladate
0,1,0,1,neutral,1590,0,C,pay off credit cards home improverment
1,4,0,4,negative,1591,0,C,this loan will help me pay off several high interest credit cards give me some room to start saving again
1,5,0,5,positive,1592,0,D,i am seeking out a 2 year loan to consolidate my credit cards i hope to pay the loan off sooner right now i have a low debt to income ratio but a lot of debt that i would like to consolidate so i know they are being taken care of and paid off my goal would be to only keep on credit card with a higher limit active once they are paid off
0,1,0,1,neutral,1593,0,B,pay off credit cards
1,5,1,5,positive,1594,0,B,i am finally getting my financial situation under control and taking steps to change my spending habits i now have steady full time employment and will be making enough to start paying down debt this loan would aid that process with a lower interest rate
1,1,0,1,negative,1595,0,A,funds needed to pay for my amazing tax mistakes in 2010
1,5,0,5,negative,1596,0,C,the purpose of this loan is to eliminate my credit card debt lower the monthly expenses incurred by this debt and ultimately achieving my goal of financial freedom in about 2 1 2 years
1,5,0,5,positive,1597,0,A,i can provide a co signer if that helps or is required i have money saved so i plan on paying a bit more than the minimum thank you so much this means so much to me and my family
1,1,0,1,negative,1598,0,B,short of money to get ready for buying a home
0,5,0,5,positive,1599,0,B,for a new roof on my house
1,5,0,5,negative,1600,0,C,i have a prestine credit history with no lates or derogitories i can provide up to 75 of my monthly income towards repayment of loan for faster return our company serves more than 600 residential homes and over 12 corporate offices including 2 large worldwide banks the only reason i need this loan is because of a sudden surgery my dog needed to have and the extra cash i had to spend out of pocket set me back to a point where i wasn t going to be able to pay off bills in the promotion period to avoid interest charges thanks
1,5,1,5,negative,1601,0,D,i am a rn at umass medical center in worcester i have being working at umass for 4 yrs it is a stable job that pays well but i have not being able to pay off all my credit cards due to very high interst rates i am up to date and i have not have a late payment within the last couple of years i will usthis loan to pay off all credit cards so i would only have one monthly payment and also with a muchlower intert rate thanks 544945 added on 10 06 09 i am currently working as many overtime i cann to be able topay all bills on time my monthly payments on credicards is aroun 900 00 all combined with this loan the payment will be over 300 00 less monthly thanks for the help of all investors sincerely catia mahoney
1,5,0,5,positive,1602,0,D,i am on a plan to get myself completely out of debt within the next 3 years i accrued about 24 000 in credit card debt over the past few years due to some significant job and life changes this loan would allow me to pay off my debt and save 500 over my current monthly payments thank you
1,5,0,5,positive,1603,1,C,this loan will allow me to pay off several credit cards and small loans with a manageable monthly payment
1,1,0,1,negative,1604,0,A,pay off a high interest rate card
0,2,0,1,neutral,1605,0,C,remodeling kitchen cabinets and floors remodel cabinets and floor
1,5,0,5,negative,1606,0,C,debt consolidation i have small cards loan amounts and it s mind boggling to keep it all straight one loan will be easier to manage
1,5,0,5,negative,1607,0,B,i would like to consolidate my debt my credit card currently has apr of 21 please help me consolidate my high credit cards and student loans i currently pay 21 apr in my credit cards and would like to pay it off with lower interest rate
0,1,0,1,neutral,1608,0,A,pay off existing credit card accounts
1,4,0,1,negative,1609,0,F,i need to pay off all my credit cards and some of my husband s card also i need to remodel my drive way and do a little landscaping to improve my equity
1,5,0,5,positive,1610,1,E,i am trying to pay off my credit cards as quick as possible adding additional money tomonthly payments to become credit card debt free faster additionally i am trying to close some credit cards once the balances are zeroed out i have had small personal loans in my past always on time and never defaulted i have an excellent repayment record on all credit cards i would rather extend the term of months with lower payment in case of an emergency so i will not default i hope that you investors will enjoy the interst on my loan thank you all that even review my loan and invest
1,5,0,5,negative,1611,0,B,need the loan to pay off high interest credit cards i used my credit cards for home improvements furniture and appliances i wanted to built credit but in the last two years i had to face the unexpected medical funeral and traveling expenses took my savings and put me in debt need the loan to pay my credit cards at lower percentage rate put everything in just one comfortable payment
0,5,0,5,negative,1612,0,C,looking to pay off higher interest credit cards and student loans in order to go back to school to earn graduate degree
1,1,0,1,negative,1613,0,B,mostly to pay down some high interest credit cards
0,5,1,5,positive,1614,0,C,i am borrowing to pay off my credit cards i pay all my bills on time never miss a payment i have a very good job and very stable
1,5,0,5,negative,1615,0,B,just want to pay off all my credit cards and free up some money and to be able to just pay one bill tell your story what is your loan for
1,5,0,5,negative,1616,0,B,have been paying minimum on credit cards but the interest rates are too high to make a dent a credit card consolidation will allow paying off the cards immediately with significant savings in rates
0,1,0,1,neutral,1617,0,A,loan to pay off bank of america chase and citibank
1,5,0,5,negative,1618,1,A,reduce high interest credit card monthly payment totaling over 900 and eliminate debt sooner
0,1,0,1,neutral,1619,0,B,landscaping the backyard of our new home
1,5,1,5,positive,1620,0,A,now that i am employed full time in a professional job i am seeking to pay off credit card debt accumulated during college at lower interest and at a faster rate now that i am employed full time in the professional workforce i am seeking to pay off credit card debt accumulated during college more quickly and at a better interest rate
1,5,1,5,negative,1621,1,E,to pay of bills my job is very stable have been here for 9 years i also have a part time job which is very stable have been there for a year just want to be back on track
1,1,0,5,negative,1622,0,A,good deal on mint condition bmw motorcycle fyi i do have cash and can pay this loan off at any time just hate to take money out of the bank this process seems painless so i thought it to be a good deal for another toy like a bmw
1,2,0,1,neutral,1623,0,D,i have three credit cards that i no longer use and i d like to consolidate
0,5,1,5,positive,1624,1,C,i have two credit cards that i want to consolidate into one monthly payment with my interest rates in the mid 20 s interest has been taking a toll on knocking the debt down in a timely fashion with lending club i can cut my interest rate significantly save money and pay off my debt in under three years i have never missed a payment on my mortgage car loan or credit cards in the eight years of establishing credit
1,5,0,5,negative,1625,0,B,i need to pay off a high interest loan that i used to purchase home improvement services said loan has a percentage rate of 14 090 and at that rate it will take too long 20 years to pay off also i want to get rid of one of my credit cards once and for all and tighten up my expenditures
0,1,0,1,negative,1626,0,C,to help my children
1,5,0,1,negative,1627,0,A,balance of swimming pool instalation the loan is to pay the balance of pool instalation we have funded 35 000 and are looking for the balance
1,5,0,5,negative,1628,0,B,i have recently racked up a lot of credit card balances in order to pay for school expenses books supplies uniforms i would like to combine all three credit accounts to this loan so i will be able to pay off all three accounts and only have one payment this loan is going to be used to consolidate three of my credit cards that i have accrued balances on due to school expenses books supplies uniforms i would like to combined all the credit cards with this loan so i may have one payment and be able to pay it off quicker thank you for your help
1,5,1,5,positive,1629,0,B,my loan is to pay off my credit card i used to pay for my last semester of college i work 20 hrs a week while going to school so i can easily make the payment every month i m almost done with school and i would rather take a loan with the lending club than pay my credit card interest every month
1,5,0,5,negative,1630,0,D,i have a couple of credit cards and taxes from last year that i would like to consolidate and be able to make one payment vs several different payments
1,5,0,5,negative,1631,0,D,hello i need to pay tuition for the next semester which should be about 3500 dollars with about 500 dollars worth of books the rest 1000 is for meals and extra expenses that college students go through thanks and please help me get my education so that i can be on my way to medical school
0,5,1,5,positive,1632,0,A,i am doing some renovation to home since i will be there for a long long long time i am looking to make home more efficient with todays market its easier to fix up then it is to sell i like where i live and have had same job 13 years so i am wanting a better looking but mostly more efficient home windows doors painting etc thank you for your consideration
1,5,0,5,negative,1633,0,C,the loan is to pay off the balances on a couple of high interest credit cards the lower interest rate and set monthly payment will enable me to payoff the debt faster
1,5,0,5,negative,1634,0,B,i want to combine my credit card debt and be able to pay in one mo pmt and get it pd off as soon as possible looking for lowering my interest rate on my revolving debt and see light and the end of the tunnel
1,5,0,5,negative,1635,0,B,i need this money to pay off my highest interest rate cards i also have a penalty charge on one of them if i can take care of this matter it will be easier to pay whatever is left to manage my situation i am very grateful if this could be accomplish i will be willing to pay more on this account soo
1,5,1,5,neutral,1636,1,A,consolidate bills i use the fund to consolidate bills and invest i have a stable job that i have been working over 14 years
1,1,0,1,negative,1637,0,A,well this will sum it up the money i had saved up is being used to pay my taxes this year the bathroom just had a major hiccup i did get it patched but some things just need replaced
1,1,0,1,negative,1638,1,B,i am attempting to pay off several high interest credit cards
1,5,0,5,negative,1639,1,E,i am requesting this loan to payoff some personal debt so that i can refinance my home this debt is in the form of judgements that was place on the property after construction it is a commission fee of 5 paid to the developer and realtor that was to be paid after the house was appraised upon completion the home was built year ago and we put all that we had saved up into this house the house currently is appraised at 619 000 we owe 542 000
1,5,0,1,negative,1640,0,A,i need to pay for my sister wedding cake i am so happy that my younger sister is taking that big step as the older sister i want to give something for the wedding i need the loan because the wedding is going to be in the carribean i just need a little bit of help with the cake the renting a car and a place to stay over there thank you for your time
1,5,0,5,positive,1641,0,A,trying to get my family to financial stability laying down a plan to be financially stable for my family s future
0,5,0,5,neutral,1642,0,B,debt consolidation pay off credit cards
1,5,1,5,positive,1643,0,D,i will use this to pay off my credit card debt i m a good borrower because i don t make late payments and my job is real stable my budget will basically consists of saving and paying off my debt i also plan on paying this off early i intend to pay more than the minimum payment
0,5,0,5,positive,1644,0,A,my loan is to consolidate my credit cards into one payment i would like to pay off the cards and than have on payment i have great credit and i want to take care of it by paying everything off i have placed all my cards in a drawer and they are not used at all
1,5,0,1,negative,1645,0,B,my granddaughter and her father in florida are close to being homeless and i would like to help get them a place to live i would ordinarily be able to help but have been experiencing medical problems recently and have to use my extra funds for this purpose thank you obtain an aprtment for my granddaughter and her father in florida they are on the verge of being homeless please help thank you
1,5,0,5,negative,1646,0,B,use low intrest loan to pay off and consolidate higher interest loan
1,5,0,5,negative,1647,0,C,to pay off credit cards and some other bills and to have just one monthly payment
1,5,0,5,negative,1648,0,B,to consolidate high interest rate credit cards i m being held hostage by these credit card companies
1,1,0,1,negative,1649,0,A,we are looking to consolidate some general debt lower interest rates and use our savings to take a once in a life time trip to india
0,4,0,5,positive,1650,0,C,the loan is to consolidate a couple of credit cards that i m paying off at present it will make my loan payment much cheaper i will be able to grow my business
1,1,0,1,negative,1651,0,C,pay on some credit cards and etc
0,1,0,1,positive,1652,1,C,thank you everyone for looking at my loan listing and helping me get my loan funded
0,5,1,5,positive,1653,1,F,looking for a better interest rate than those available through other private student loan organizations finally set time to out finish my education going for a bs in in business management i currently own a business development firm which helps businesses expand through various methods such as franchising and licensing we also help business raise capital privately thank you for your consideration i greatly appreciate it
1,5,1,5,positive,1654,1,C,my plan is to pay off all my credit cards close out 3 of my accounts 2 personal loans and my bill me later this will lower my interest rate as well and increase my cash flow my short job tenure is because i switched companies making more money same type work for over 15 years
0,1,0,1,negative,1655,0,C,to help me be debt free in 3 years
0,5,0,5,neutral,1656,0,C,this loan will be used for debt consolidation of credit cards to lower monthly payments
1,3,0,2,negative,1657,1,D,i need the money for a dentist bill and also to repair an old car that i have i also want to pay some credit card bills
0,1,0,1,neutral,1658,0,B,credit card refinance
0,1,0,1,neutral,1659,0,B,my total household income is 68 000 annually
0,1,0,1,neutral,1660,0,D,credit card consolidation
1,5,0,5,negative,1661,1,C,credit card consolidation loan
1,1,0,1,negative,1662,0,B,debt consolidation using this loan to pay off many small debts john deere best buy chase etc
1,3,0,2,negative,1663,0,C,my loan is for a combo of things my fence in the yard needs to be finished i would like to correct the misinstalled washer and dryer connnections and piping my double patio doors have started to rust and i have a huge hole at the bottom this would help my fpl bills i would also like to pay debt
0,1,0,1,neutral,1664,0,C,credit card consolidation
0,5,1,5,positive,1665,0,C,i am investing in a commercial property to help start my new business commercial property management leasing and investment management financial partner 81 19 myself significant immediate cash flow this is a dream of mine please help 6 years real estate experience 3 years commercial real estate experience working with highly respectable investors and mentors who have been in the business for over 20 years
1,5,0,5,positive,1666,0,E,i am seeking this loan to combine my bills into one monthly payment and to become debt free in a specified time frame thank you for your consideration confidence and investment it is greatly appreciated
0,5,1,5,positive,1667,0,F,i plan to pay off all credit cards and only keeping one open for travel for work i then plan on paying off this note in a timely manner i think i should be a good borrower based on the fact the past 4 5 years i have not been late on any payments i recently paid off my car as well i am now in a lease and my monthly spending is roughly 4 000 a month my job is in the healthcare industry and i am going on my 10th plus year at the same company i will pay this back on time without a doubt my current debt balances are 3 500 at 19 9 7 800 to capitol one 16 5 hsbc 5 000 at 22 vsac wells fargo 13 000 16 5 i don t miss payments and usually ay more than minimuim but i would like to make one payment and put the credit cards to bed
1,5,0,5,negative,1668,0,C,i want to pay off my debt before my kids start school in three years the balance on my credit cards were not going down at all the way i was doing it
0,5,0,5,neutral,1669,0,B,consolidate high interest accounts and pay down debt
1,5,0,5,negative,1670,0,C,am going to pay off all bills and do some car repairs want to be sure i can pay more than the stated payment when i want to so i can pay it off early
1,5,1,5,negative,1671,0,B,basically i used my two major credit cards to fincance a relocation from california to new york and to live on while i found a job i have been here for almost a year and at my job for over seven months now i make my monthly payments on the cards but with the high interest rates the balance is not going anywhere i have a steady job with an amazing company and actually make a decent salary it just doesn t combat the interest on the cards and that is my only struggle this loan would allow me to make steady payments and actually pay off my debt instead of paying at a stand still like now i have impeccable payment history when it comes to loans car loans student loans personal loans i only have ever had issues with credit cards that have high interest rates
1,3,0,2,neutral,1672,0,D,my loan would be used to pay off credit cards and also for some home improvements
1,5,0,5,negative,1673,0,B,i plan to payoff tthe following debts merrick bank visa capital one mastercard hsbc mastercard and ge america tire co card the balance will be used to make repairs on our my 2001 ford escape and 2000 nissan maxima which is not running it has been down for two years
0,1,0,1,neutral,1674,0,C,pay off higher interest credit cards
0,1,0,1,neutral,1675,0,C,seek short term 4000 loan
1,5,0,5,negative,1676,0,C,i plan to pay off all my credit card debt as well as a few other minor debts that i have
1,5,0,5,positive,1677,0,B,i have very high interest on mi credit cards and stores departaments my payments every month is about 550 oo by total debts 7500 00 now with my new loan is gonna be less 300 00 save 50 and clear all my olds account was payment for more than 10 years and can lower the amouts i am happy now
1,5,0,5,negative,1678,0,D,seeking a loan to help pay off existing debt so i can consolidate and finish college with less financial burden
0,5,0,5,positive,1679,0,C,this loan is solely meant to consolidate my credit card debt and ultimately strengthen my credit standing
0,2,0,1,neutral,1680,0,B,need to refinanced consolidate my credit cards
0,1,0,1,neutral,1681,1,D,pay off credit cards
0,5,1,5,positive,1682,0,D,we are looking to be first time home buyers in nc our projected mortgage payment piti hoa will be less than our current rent in the rtp area thanks for your help we have never missed a payment and are currently paying down our loans for two master degrees and a doctorate except for the house we have a 5 year debt free plan we have already paid off one of our vehicles and have just 30 months left on the other one thanks for your help
0,2,0,1,neutral,1683,0,D,to improve my house and sell it for profit
1,5,0,5,positive,1684,0,B,this loan will help us pay off credit cards that have a higher interest rate it will also give us a little extra to go see our son at christmas who is in the navy
0,5,0,5,neutral,1685,1,E,a loan to pay off credit cards faster
1,5,1,5,positive,1686,1,F,hello i intend to use this money to pay off my first lending club loan and consolidate the balance of my credit card debt i have a stable job in a growing company and i m a responsible person looking for some help thanks for your consideration
1,1,0,1,negative,1687,0,B,debt bill consolidation on higher interest credit cards
1,1,0,1,negative,1688,1,C,i want to consolidate my credit card debts
1,5,0,5,negative,1689,0,B,this loan is to pay off my credit cards so that i will only have one payment to concentrate on
1,5,0,1,negative,1690,0,A,money will be used to consolodate credit cards
0,5,1,5,positive,1691,0,D,564331 added on 10 28 09 i am in the final stages of software development on a corporate application that does not have any direct competitors at the moment i have been working on this for 2 years and have put in 7 times this amount personally i start testing in less than 2 weeks with a well known fortune 50 client and i need this money to pay the developers to finish up the code and provide support during the testing period expected to launch in jan feb 09 i will continue working my day job and making payments for the foreseeable future 564331 added on 10 29 09 correction launching jan feb 2010
1,1,0,1,negative,1692,0,A,pay off loan made for travel expenses last month
0,5,0,5,neutral,1693,0,G,consolidating higher interest credit cards into one payment
0,1,0,1,neutral,1694,0,A,credit card refinancing
0,5,0,5,positive,1695,0,E,loan request for consolidating debt and a vacation have fantastic credit never even been late
0,5,1,5,positive,1696,0,A,this will eliminate our debt i ve been with the same employer 12 years and a home owner 7 years with excellent credit score and payment history my debt to income ratio is low thus making this loan easy to pay
1,5,1,5,positive,1697,0,C,i am using these funds to payoff and consolidate credit card debit and one personal loan into one monthly payment i am employed for 8 years which is a position i obtained after getting my college degree i make all payments on time
1,1,0,1,negative,1698,1,F,i tapped into my profit sharing and have taxes i am unable to pay
1,5,0,5,positive,1699,0,B,debt consolidation loan to rebuild my outgoing living expenses want to live more economically sound within my budget am desirous to work extra hours to get my debt consolidation loan paid as quickly as possible am wanting to contribute all my efforts toward re establishing myself and creating a better budget for myself
1,1,0,1,negative,1700,0,B,need to cover medical expenses and credit card
1,5,1,5,positive,1701,0,F,have been a prior borrower at lending club 100 on time payment record 110k base plenty of monthly free cash flow but need lump sum to help mother with serious illness and help pay out of pocket expenses that piled up again not really a cash flow issue but need lump sum and had great experience with lending club before so i would rather give business here have 2300 in free cash flow a month payments are not an issue thank you
0,5,1,5,positive,1702,0,A,consolidation of expiring 0 credit card loans i am a good candidate as i have stable employment and perfect credit
1,5,0,5,negative,1703,1,B,i need this loan to pay off my credit card debt the rediculious interest rates have made it impossible to pay it off in a reasonable amount of time
1,1,0,1,negative,1704,0,C,we want to pay off existing credit cards
0,4,1,5,positive,1705,0,E,i have a stable and secured job i just need this loan to help finalize some purchases i feel i budget well but this extra funding would assist greatly
1,5,0,5,negative,1706,0,B,long story short additional credit card debts were accumulated after paying off my previous lending club loan this loan will allow me to consolidate all debts into one payment with an end date to work towards i take my credit very serious thanks for your time
0,5,1,5,positive,1707,0,G,my wife and i are in the process of purchasing a second investment property eventually this property will be our primary residence we have considerable income since she is also a professional primary care doctor but her outstanding student loans keep the banks from qualifying us both of our credit scores are over 711 and keep climbing we have never defaulted on any loans we strongly believe in peer to peer lending and look forward to doing business with other hard working americans
0,5,0,5,positive,1708,0,B,i m borrowing some extra money for the wedding i will be paying before the 3 years term i have a good credit score
0,5,0,5,neutral,1709,0,B,to consolidate outstanding loans at various interest rates into one easily managed lower interest rate account
1,5,0,1,negative,1710,0,C,internal job transfer same company same position in a different state need assistance with the moving expenses
1,1,0,1,negative,1711,0,C,need loan to pay off credit cards
1,5,0,5,positive,1712,0,B,this loam will allow me to pay off my credit card debt faster my credit card aprs increased to 22 29 after the recession and have not budged since then this loan will allow me to pay off debts and have money to build a safety fund for emergencies concurrently thank you
1,5,1,5,positive,1713,0,B,hello i am looking to acquire a loan to payoff a few credit cards and reduce things down to one monthly payment i am gainfully employed with a company that has a strong and constantly growing client base thank you i also wanted to mention that i pay my bills on time and have a clean credit report
1,5,0,5,negative,1714,0,B,consolidate credit cards and be able to payoff in 36 months
1,5,0,5,negative,1715,1,C,this loan at the monthly payment rate will make it much easier for me to pay my debt off in a shorter period of time than being stuck with multiple accounts and minimum monthly payments required by the credit card companies in turn making my monthly budget more manageable with one lower payment by paying all of my credit cards off as well as the irs and having one payment each month that is less than 200 a month that i am spending now will allow me to become debt free in less than 3 years
0,5,0,5,neutral,1716,0,A,looking to pay off an amex credit card at a lower interest rate
1,5,0,5,negative,1717,0,B,iam looking to consolidate some higher interest credit card debt with one lower rate loan and single payment
1,5,0,5,negative,1718,0,B,it is going to be used to pay off credit cards so i just have a single payment to keep track of
1,1,0,1,negative,1719,0,A,pay credit cards get ahead on house payment
1,5,0,5,negative,1720,0,A,been carrying a credit card debt for years i always pay 100 over my minimum and it s costing me about 500 a month and never making a dent in my debt with this loan i could consolidate all my debt and continue to pay 500 a month payment to pay this down and not having revolving interest
0,5,1,5,positive,1721,0,B,i plan to use the money for debt consolidation i am a good borrower because i m dedicated to paying monthly bills on time i stay within my budget my job is very stable and have been there for 32 years
0,5,1,5,positive,1722,0,A,i am going to consolidate my debt and add a breezeway to my home i have good credit and my job is very stable
1,1,0,1,negative,1723,0,D,payoff smaller debts that we have required to save money and to have less going out in payments each month
